CollectionCategory,CollectionSubCategory,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16
Rubbish,Bins Collected,28827,30832,38719,30422,31991,37730,29701,31180,38437,30286,31470,38481,30648,30257,38573,30459,31175,37175,28210,29673,38501,29302,30796,36546,34977,32031,31126,30832,31410,33022,31775,29881,32582,33434,31258,30569,34240,27978,33489,33078,30038,34155,29625,28874,36320,31328,31142,31856
Rubbish,Tonnes Collected,312.04,316.38,410.16,324.92,328.94,403.6,309.68,314.72,383.12,294.32,325.44,409.55,323.94,318.76,414.4,323.16,330.52,413.88,305.2,315.76,408.42,309,326.81,383.5,376.72,332.84,331.57,316.38,320.14,355.85,338.6,306.42,322.16,342.68,325.3,315.44,359.36,291.68,350.62,346.94,327.02,364.48,303.10,325.98,380.95,324.43,315.36,342.4
Recycling,Bins Collected,11624,12019,14096,12006,11432,15023,12187,14167,14857,12564,12353,15542,11996,12415,14917,12380,12794,16367,12422,12667,15276,12351,12499,15655,13566,13293,13090,12019,13212,12354,13714,13057,13842,15012,13522,12923,12332,11624,13420,15233,12481,13910,12658.00,12253.00,14816,13736,12641,12291
Recycling,Tonnes Collected,134.48,138.94,164.58,139.98,129.66,181.06,147.82,139.04,157.54,134.88,133.22,170.48,137.74,136.9,160.64,136.84,142.04,185.52,137.48,137.94,163.06,140,142,181,152.66,144.16,151,138.94,143.04,137.7,151,133.7,142.62,162.98,139.52,135.14,131.31,124.36,141.54,160.76,141.84,155.36,136.30,128,160.75,155.27,130.92,132.40
Organics,Bins Collected,1788,1986,2576,2096,2391,2585,2076,2397,2875,1944,2334,2360,2014,2099,2854,2452,2455,2814,2211,2253,3306,2343,2345,2681,2959,2200,2590,1986,2702,3974,2752,3168,4356,1807,2764,3123,2047,2613,2343,2448,3843,2454,2776.00,2925.00,2607,2621,3599,2293
Organics,Tonnes Collected,26.28,31.94,49.98,39.2,39.6,41.02,27.2,32.98,40.86,33.16,37.66,37.96,33.5,39.51,56.26,43.98,41.74,42.9,32.56,31.7,57.42,40,41,52.76,58.26,39.46,45,31.94,46.18,59.74,42,41.36,62.46,30.04,49.76,55.54,36.08,48.56,43.44,43.64,66.32,37.34,38.86,52,43.62,43.18,65.18,45.26
Hard Waste,Number of Collections,,499,,,902,,,834,,,533,,,500,,,726,,,744,,,604,,,527,,499,734,,,781,,,488,,,550,,,813,,57.00,137.00,127,120,101,85
Hard Waste,Tonnes Collected,,29.86,,,48.58,,,44.06,,,29.46,,,24.56,,,38.02,,,40.28,,,31,,,25.3,,29.86,38.82,,,40.74,,,28.40,,,26.36,,,45.64,,7.12,13,14.54,12.74,13.30,10.12
E Waste,Number of Collections,,,,,164,,,,,,,,,153,,,224,,,181,,,115,,,79,,153,164,,,128,,,,,,,,,153,,5,8.00,20,7,8,7
Bulk Bins Garbage,Number of Collections,,,,,,,,,,,,,,,,,,,,145,194,155,152,188,192,151,156,,168,177,155,170,148,218,179,174,242,,236,287,232,300,231,240,289,265,324,326
Bulk Bins Garbage,Tonnes Collected,,,,,,,,,,,,,,,,,,,,6.88,9.3,7.9,7.12,10.2,10.98,8.62,8.56,,9.76,5.08,3.78,8.4,4.04,11.68,9.4,8.82,12.6,,12.96,16.38,13.76,19.33,14.56,14.28,18.4,18.4,18.82,32.44
Bulk Bins Recycling,Number of Collections,,,,,,,,,,,,,,,,,,,,118,155,120,121,148,151,118,128,,138,211,163,144,182,177,117,140,188,,194,233,192,265,204,209,268,240,204,310
Bulk Bins Recycling,Tonnes Collected,,,,,,,,,,,,,,,,,,,,3.86,4.58,3.84,3.52,4.3,5.12,4.3,4.4,,4.42,11.74,10.18,3.5,9.82,4.9,3.94,4.26,5.54,,5.34,6.28,5.12,8.54,5.76,6.02,8.17,6.82,6.86,9.16
